,parked,static,moving,not_moving,parked,static,moving,not_moving,parked,static,moving,not_moving,parked,static,moving
15JAN14110353-M3DS-011270707030_01_P001_ALL_9_12,965.0,1.0,54.0,878.0,869.2301293370813,8.769870662918605,180.0,628.0,622.2713760426354,5.7286239573644995,144.0,595.0,590.4713699682349,4.528630031765106,9.0
15JAN14110353-M3DS-011270707030_01_P001_ALL_9_13,630.0,20.0,35.0,412.0,400.16380924915023,11.83619075084977,129.0,353.0,343.88390098041236,9.116099019587654,117.0,332.0,324.863813969707,7.136186030292941,5.0
15JAN14110353-M3DS-011270707030_01_P001_ALL_9_14,750.0,80.0,72.0,551.0,503.13191383092385,47.868086169076086,127.0,449.0,410.6142575735925,38.38574242640747,122.0,382.0,366.16006176832053,15.839938231679419,13.0
15JAN14110353-M3DS-011270707030_01_P001_ALL_9_15,809.0,1.0,43.0,573.0,556.253244645897,16.746755354102973,63.0,465.0,451.70169078605596,13.29830921394403,53.0,439.0,427.1644378643344,11.83556213566565,8.0
15SEP19105940-M3DS-010712624090_01_P001_ALL_3_20,264.0,0.0,61.0,284.0,276.4689350561398,7.5310649438601995,46.0,247.0,240.05175984732026,6.948240152679742,41.0,202.0,201.02520845297252,0.9747915470274937,12.0
15SEP19105940-M3DS-010712624090_01_P001_ALL_M2,1048.0,18.0,84.0,1185.0,1139.1546640323072,45.84533596769259,8.0,997.0,963.9654925649992,33.03450743500077,7.0,920.0,901.5384687415859,18.46153125841408,4.0
15SEP19105955-M3DS-010712624080_01_P001_ALL_2_6,1099.0,51.0,213.0,1295.0,1230.9387299602408,64.0612700397593,35.0,1164.0,1105.7293017683785,58.27069823162145,32.0,957.0,940.5043107716753,16.495689228324682,23.0
15SEP19105955-M3DS-010712624080_01_P001_ALL_M3,699.0,40.0,170.0,891.0,867.509574046778,23.49042595322201,22.0,761.0,740.9652918450229,20.034708154977142,20.0,595.0,587.5680063187652,7.431993681234821,15.0
16AUG09111426-M3DS-010077737020_01_P001_ALL_3_26,639.0,38.0,111.0,742.0,704.8379600957967,37.162039904203255,27.0,645.0,611.3208649226711,33.6791350773289,23.0,542.0,536.8402875029776,5.159712497022339,9.0
16AUG09111426-M3DS-010077737020_01_P001_ALL_7_29,384.0,10.0,45.0,410.0,397.1973493029013,12.802650697098702,36.0,371.0,359.6817349153079,11.31826508469209,36.0,335.0,327.0391428577146,7.96085714228543,14.0
16AUG09111432-M3DS-010712624100_01_P001_ALL_3_19,892.0,3.0,113.0,974.0,947.6310155723701,26.368984427630007,47.0,907.0,882.5214666054052,24.478533394594674,46.0,828.0,815.5565843286946,12.443415671305265,24.0
16AUG09111432-M3DS-010712624100_01_P001_ALL_M4,104.0,1.0,43.0,99.0,81.63513721855114,17.36486278144887,31.0,88.0,73.42516925075668,14.574830749243308,29.0,74.0,66.26793945805656,7.732060541943433,14.0
16OCT05111011-M3DS-010712624110_01_P001_ALL_2_30,174.0,6.0,83.0,212.0,183.7386739282192,28.261326071780744,42.0,176.0,151.35042338184985,24.649576618150164,42.0,128.0,126.90308849250336,1.096911507496653,29.0
16OCT05111011-M3DS-010712624110_01_P001_ALL_M5,521.0,33.0,127.0,515.0,488.78116288313583,26.218837116864123,70.0,458.0,435.1965317273733,22.803468272626674,69.0,388.0,381.442041937675,6.557958062324964,38.0
17NOV06111525-M3DS-011270707040_01_P001_ALL_1_2,222.0,2.0,25.0,170.0,168.68336876360024,1.3166312363997559,61.0,139.0,138.06593815578967,0.9340618442103321,52.0,133.0,132.12412430559365,0.875875694406345,15.0
17NOV06111525-M3DS-011270707040_01_P001_ALL_1_5,188.0,16.0,22.0,123.0,118.65663001777897,4.343369982221031,32.0,110.0,107.33556348191497,2.664436518085012,25.0,101.0,100.47630710157328,0.5236928984267286,4.0
17NOV06111525-M3DS-011270707040_01_P001_ALL_M16,542.0,12.0,83.0,598.0,579.2924161218829,18.70758387811698,90.0,460.0,443.66675323150025,16.33324676849973,78.0,412.0,402.7518156502749,9.24818434972509,25.0
